sync_date,user_id,session_id,origin,path
2020-01-01T00:17:01.106Z,vis-S0DW,vis-S0DW_2,https://cxclip.karte.io,/
2020-01-01T00:18:01.970Z,vis-SF08,vis-SF08_1,https://cxclip.karte.io,/
2020-01-01T00:26:42.836Z,vis-QR1L,vis-QR1L_1,https://cxclip.karte.io,/practice/luxa-case02/
2020-01-01T00:38:37.838Z,vis-274X,vis-274X_1,https://cxclip.karte.io,/topic/dx/
2020-01-01T00:41:36.697Z,vis-274X,vis-274X_1,https://cxclip.karte.io,/topic/digital-marketing/
2020-01-01T01:10:58.409Z,vis-PF00,vis-PF00_1,https://cxclip.karte.io,/topic/mau/
2020-01-01T01:11:02.653Z,vis-PF00,vis-PF00_1,https://cxclip.karte.io,/topic/mau/
2020-01-01T01:22:34.966Z,vis-PU1H,vis-PU1H_1,https://cxclip.karte.io,/topic/customer-experience/
2020-01-01T01:22:40.310Z,vis-PU1H,vis-PU1H_1,https://cxclip.karte.io,/topic/customer-experience/
2020-01-01T01:30:35.235Z,vis-1NRJ,vis-1NRJ_1,https://cxclip.karte.io,/topic/cxconf2019-peach/
2020-01-01T02:36:13.454Z,vis-2XOZ,vis-2XOZ_2,https://cxclip.karte.io,/product/4025/
2020-01-01T02:37:15.838Z,vis-2XOZ,vis-2XOZ_2,https://cxclip.karte.io,/product/4219/
2020-01-01T02:39:53.987Z,vis-2XOZ,vis-2XOZ_2,https://cxclip.karte.io,/product/4408/
2020-01-01T02:59:56.133Z,vis-2XOZ,vis-2XOZ_2,https://cxclip.karte.io,/product/4408/
2020-01-01T03:01:26.995Z,vis-2XOZ,vis-2XOZ_2,https://cxclip.karte.io,/interview/
2020-01-01T03:01:29.261Z,vis-2XOZ,vis-2XOZ_2,https://cxclip.karte.io,/tag/industry/financial/
2020-01-01T03:01:40.556Z,vis-2XOZ,vis-2XOZ_2,https://cxclip.karte.io,/interview/sbisec/
2020-01-01T03:07:41.072Z,vis-8U0H,vis-8U0H_1,https://cxclip.karte.io,/interview/idom/
2020-01-01T03:09:25.284Z,vis-2XOZ,vis-2XOZ_2,https://cxclip.karte.io,/tag/industry/financial/
2020-01-01T03:09:46.539Z,vis-2XOZ,vis-2XOZ_2,https://cxclip.karte.io,/practice/theo-case01/
2020-01-01T03:11:35.526Z,vis-2XOZ,vis-2XOZ_2,https://cxclip.karte.io,/tag/industry/financial/
2020-01-01T03:11:55.290Z,vis-2XOZ,vis-2XOZ_2,https://cxclip.karte.io,/interview/2418/
2020-01-01T03:12:55.746Z,vis-274X,vis-274X_2,https://cxclip.karte.io,/topic/digital-marketing/
2020-01-01T03:15:45.103Z,vis-M8C9,vis-M8C9_1,https://cxclip.karte.io,/topic/cxconf2019-peach/
2020-01-01T03:17:45.146Z,vis-2XOZ,vis-2XOZ_2,https://cxclip.karte.io,/tag/industry/financial/
2020-01-01T03:17:50.163Z,vis-2XOZ,vis-2XOZ_2,https://cxclip.karte.io,/interview/mitsui-direct/
2020-01-01T03:24:23.741Z,vis-2XOZ,vis-2XOZ_2,https://cxclip.karte.io,/interview/
2020-01-01T03:24:28.829Z,vis-2XOZ,vis-2XOZ_2,https://cxclip.karte.io,/tag/industry/media/
2020-01-01T03:24:50.497Z,vis-2XOZ,vis-2XOZ_2,https://cxclip.karte.io,/interview/4177/
